title,authors,year,venue,citations,url,abstract
Coloring Big Graphs with AlphaGoZero,"Jiayi Huang, Md. Mostofa Ali Patwary, G. Diamos",2019.0,arXiv.org,53,https://www.semanticscholar.org/paper/7c23e5fefe6c03a835633b2b69b89e26875bb99c,"We show that recent innovations in deep reinforcement learning can effectively color very large graphs -- a well-known NP-hard problem with clear commercial applications. Because the Monte Carlo Tree Search with Upper Confidence Bound algorithm used in AlphaGoZero can improve the performance of a given heuristic, our approach allows deep neural networks trained using high performance computing (HPC) technologies to transform computation into improved heuristics with zero prior knowledge. Key to our approach is the introduction of a novel deep neural network architecture (FastColorNet) that has access to the full graph context and requires $O(V)$ time and space to color a graph with $V$ vertices, which enables scaling to very large graphs that arise in real applications like parallel computing, compilers, numerical solvers, and design automation, among others. As a result, we are able to learn new state of the art heuristics for graph coloring."
Improving probability learning based local search for graph coloring,"Yangming Zhou, B. Duval, Jin-Kao Hao",2018.0,Applied Soft Computing,52,https://www.semanticscholar.org/paper/e5fa791a471a4e67d8ba6cdabf036497c61783e5,
Expected Gains from Parallelizing Constraint Solving for Hard Problems,"T. Hogg, Colin P. Williams",1994.0,AAAI Conference on Artificial Intelligence,51,https://www.semanticscholar.org/paper/c3481d96b56d62b9cf6d1176155897c0c2acafba,
The Elimination of Spatial-Temporal Uncertainty in Underwater Sensor Networks,"Chih-Cheng Hsu, Ming-Shing Kuo, Cheng-Fu Chou, K. Lin",2013.0,IEEE/ACM Transactions on Networking,50,https://www.semanticscholar.org/paper/17da8176579a5f56d8ebae0198e2c33eb8746fc2,
Coloring graphs by iterated local search traversing feasible and infeasible solutions,"M. Caramia, P. Dell’Olmo",2008.0,Discrete Applied Mathematics,50,https://www.semanticscholar.org/paper/6903c600ccb771129c6f020b2ba8832cba4a8f8b,
Recent Advances in Graph Vertex Coloring,"P. Galinier, Jean-Philippe Hamiez, Jin-Kao Hao, D. Porumbel",2013.0,Handbook of Optimization,50,https://www.semanticscholar.org/paper/bc89ad5e83eaa947de4f0a065a695e3f787f00cf,
New Graph Coloring Algorithms,"H. Al-Omari, K. Sabri",2006.0,,49,https://www.semanticscholar.org/paper/523283c3223dc5f1437e896602a94d623544fabc,
Adaptive linear combination of heuristic orderings in constructing examination timetables,"Syariza Abdul-Rahman, A. Bargiela, E. Burke, Ender Özcan, B. McCollum, P. McMullan",2014.0,European Journal of Operational Research,49,https://www.semanticscholar.org/paper/176266bbaf74dcc16ee0123c1f764a1414a0eae9,"In this paper, we investigate adaptive linear combinations of graph coloring heuristics with a heuristic modifier to address the examination timetabling problem. We invoke a normalisation strategy for each parameter in order to generalise the specific problem data. Two graph coloring heuristics were used in this study (largest degree and saturation degree). A score for the difficulty of assigning each examination was obtained from an adaptive linear combination of these two heuristics and examinations in the list were ordered based on this value. The examinations with the score value representing the higher difficulty were chosen for scheduling based on two strategies. We tested for single and multiple heuristics with and without a heuristic modifier with different combinations of weight values for each parameter on the Toronto and ITC2007 benchmark data sets. We observed that the combination of multiple heuristics with a heuristic modifier offers an effective way to obtain good solution quality. Experimental results demonstrate that our approach delivers promising results. We conclude that this adaptive linear combination of heuristics is a highly effective method and simple to implement."
Coloring by tabu branch and bound,"F. Glover, Mark Parker, J. Ryan",1993.0,"Cliques, Coloring, and Satisfiability",47,https://www.semanticscholar.org/paper/e1c744f808dcca9ab5e96270f45d6412d1708b26,
Energy-efficient power/rate control and scheduling in hybrid TDMA/CDMA wireless sensor networks,"Tao Shu, M. Krunz",2009.0,Comput. Networks,46,https://www.semanticscholar.org/paper/29631a41822a29ac9e5fc6b0115692288266e2e6,
Confluent Layered Drawings,"D. Eppstein, M. Goodrich, J. Y. Meng",2004.0,Algorithmica,46,https://www.semanticscholar.org/paper/9e93bf5073e1a23c8ff4ecb931858ec2d332929d,"We combine the idea of confluent drawings with Sugiyama-style drawings in order to reduce the edge crossings in the resultant drawings. Furthermore, it is easier to understand the structures of graphs from the mixed-style drawings. The basic idea is to cover a layered graph by complete bipartite subgraphs (bicliques), then replace bicliques with tree-like structures. The biclique cover problem is reduced to a special edge-coloring problem and solved by heuristic coloring algorithms. Our method can be extended to obtain multi-depth confluent layered drawings."
A Performance Comparison of Graph Coloring Algorithms,"Murat Aslan, N. Baykan",2016.0,,45,https://www.semanticscholar.org/paper/eee03cc26c45f46ef2803dce7d6b59eb5cb056b8,
"Parallel Heuristics for Improved, Balanced Graph Colorings","R. Gjertsen, Mark T. Jones, P. Plassmann",1996.0,J. Parallel Distributed Comput.,44,https://www.semanticscholar.org/paper/c21200c2fbc0d5425deba641b3941ab08defa4a6,
Time slot scheduling of compatible jobs,"M. Demange, D. Werra, J. Monnot, V. Paschos",2007.0,Journal of Scheduling,43,https://www.semanticscholar.org/paper/87b1bbea77b15d62be18154ebdad7597ff7a77c1,
Heuristic methods for graph coloring problems,"A. Lim, Yi Zhu, Qian Lou, B. Rodrigues",2005.0,ACM Symposium on Applied Computing,43,https://www.semanticscholar.org/paper/7f935077ef621691023ed5ebecc97c9123502290,
Optimal Edge Deletions for Signed Graph Balancing,"Falk Hüffner, Nadja Betzler, R. Niedermeier",2007.0,Workshop on Engineering Applications,41,https://www.semanticscholar.org/paper/c2846d223cf3a5055abce2c8c4b8e36f9f726f4b,
Dynamic fractional frequency reuse (D-FFR) for multicell OFDMA networks using a graph framework,"Ronald Y. Chang, Zhifeng Tao, Jinyun Zhang, C.-C. Jay Kuo",2013.0,Wireless Communications and Mobile Computing,41,https://www.semanticscholar.org/paper/9653507166f7ad13c9722202a38e1ddec590b3b3,
APPLICATION OF THE GRAPH COLORING ALGORITHM TO THE FREQUENCY ASSIGNMENT PROBLEM,"Taehoon Park, C. Lee",1996.0,,41,https://www.semanticscholar.org/paper/94c452a20890d201443bc2cbfac513c38533cc2a,
Crosstalk-minimum layer assignment,"Jun-Hui Cho, Salil Raje, Majid Sarrafzadeh, M. Sriram, Sung-Mo Kang",1993.0,Proceedings of IEEE Custom Integrated Circuits Conference - CICC '93,41,https://www.semanticscholar.org/paper/9961ca1ad70e8cbb9362e7215b43d8af93305715,
Fiat–Shamir via list-recoverable codes (or: parallel repetition of GMW is not zero-knowledge),"Justin Holmgren, Alex Lombardi, Ron D. Rothblum",2021.0,Empirical Software Engineering,40,https://www.semanticscholar.org/paper/4c0db4ef225fd1b867d3c1a501c890e0d975c786,"In a seminal work, Goldreich, Micali and Wigderson (CRYPTO ’86) demonstrated the wide applicability of zero-knowledge proofs by constructing such a proof system for the NP-complete problem of graph 3-coloring. A long-standing open question has been whether parallel repetition of their protocol preserves zero knowledge. In this work, we answer this question in the negative, assuming a standard cryptographic assumption (i.e., the hardness of learning with errors (LWE)). Leveraging a connection observed by Dwork, Naor, Reingold, and Stockmeyer (FOCS ’99), our negative result is obtained by making positive progress on a related fundamental problem in cryptography: securely instantiating the Fiat-Shamir heuristic for eliminating interaction in public-coin interactive protocols. A recent line of work has shown how to instantiate the heuristic securely, albeit only for a limited class of protocols. Our main result shows how to instantiate Fiat-Shamir for parallel repetitions of much more general interactive proofs. In particular, we construct hash functions that, assuming LWE, securely realize the Fiat-Shamir transform for the following rich classes of protocols: 1) The parallel repetition of any “commit-and-open” protocol (such as the GMW protocol mentioned above), when a specific (natural) commitment scheme is used. Commit-and-open protocols are a ubiquitous paradigm for constructing general purpose public-coin zero knowledge proofs. 2) The parallel repetition of any base protocol that (1) satisfies a stronger notion of soundness called round-by-round soundness, and (2) has an efficient procedure, using a suitable trapdoor, for recognizing “bad verifier randomness” that would allow the prover to cheat. Our results are obtained by establishing a new connection between the Fiat-Shamir transform and list-recoverable codes. In contrast to the usual focus in coding theory, we focus on a parameter regime in which the input lists are extremely large, but the rate can be small. We give a (probabilistic) construction based on Parvaresh-Vardy codes (FOCS ’05) that suffices for our applications."
Greedy Algorithms for the Minimum Sum Coloring Problem,"Yu Li, C. Lucet, A. Moukrim, K. Sghiouer",2009.0,,39,https://www.semanticscholar.org/paper/15a6bdb299505777715f2388d644b1c78de81f52,
Models and heuristic algorithms for a weighted vertex coloring problem,"E. Malaguti, M. Monaci, P. Toth",2009.0,J. Heuristics,39,https://www.semanticscholar.org/paper/2fe513c223b52485852d8b5ba38c4f08136b976f,
